lga_code,lga_name,crime_sum_2011,crime_5yr_sum,crime_avgyr,populations,rate_5yr_avg,rank_5yr_avg,rate_2011,rank_2011
18000,Warringah,6387,34517,6903,147611,4.7,14,4.3,10
11520,Canada Bay,3358,17671,3534,79905,4.4,9,4.2,9
14100,Hunters Hill,581,3262,652,13880,4.7,15,4.2,8
15350,Mosman,1208,6889,1378,29475,4.7,12,4.1,7
17420,The Hills Shire,6702,34945,6989,176986,3.9,5,3.8,6
16180,Palerang,492,3014,603,14835,4.1,6,3.3,5
14700,Lane Cove,1039,5649,1130,33197,3.4,4,3.1,4
14500,Ku-ring-gai,3453,18568,3714,114704,3.2,3,3,3
11860,Conargo,43,192,38,1585,2.4,2,2.7,2
19399,Unincorporated Far West,16,73,15,1116,1.3,1,1.4,1
