name,latitude,longitude,address,website
Coffs Harbour City Library & Information Service,-30.296403,153.11957,"Rigby House, Cnr Coff & Duke Streets, Coffs Harbour NSW  2450",www.coffsharbour.nsw.gov.au/citylibrary
Concord Library,-33.856967,151.098772,"Cnr Wellbank & Flavelle Streets, Concord NSW 2137",http://www.canadabay.nsw.gov.au/your_local_library/your_local_library.html
Condobolin Library,-33.088669,147.146272,"130 Bathurst Street, Condobolin NSW 2877",http://www.lachlan.nsw.gov.au/library.html
Constitution Hill Library,-33.792294,150.97421,"20 Hollis Street, Constitution Hill NSW  2145",http://www.parracity.nsw.gov.au/culture__and__leisure/library
Coolah Library,-31.823675,149.720187,"Binnia Street, Coolah NSW 2843",http://www.mrl.nsw.gov.au/
Coolamon Library,-34.81301,147.199307,"129 Cowabbie Street, Coolamon NSW 2701",http://www.rrl.nsw.gov.au/
Cooma Library,-36.236526,149.124971,"61 Vale Street, Cooma NSW 2630",http://www.monaro.nsw.gov.au/
Coonabarabran Library,-31.27443,149.277679,"John Street, Coonabarabran NSW 2357",http://www.mrl.nsw.gov.au/
Coonamble Library,-30.954311,148.388448,"Castlereagh Street, Coonamble NSW 2829",http://www.warren.nsw.gov.au/community/1079.html
Cootamundra Library,-34.639858,148.02582,"Wallendoon Street, Cootamundra NSW 2590",http://www.rrl.nsw.gov.au/
Corowa Library,-35.996708,146.391199,"157 Sanger Street, Corowa NSW 2646",http://www.umrl.com.au/
Corrimal Library,-34.375359,150.897503,"15 Short Street, Corrimal NSW 2518",http://www.wollongong.nsw.gov.au/library.asp
Cowra Library,-33.8409,148.692484,"Darling Street, Cowra NSW 2794",http://www.cwl.nsw.gov.au/
Cronulla Library,-34.05473,151.153307,"Surf Road, Cronulla NSW 2230",http://www.suthlib.nsw.gov.au/ssc/suthlib.nsf/
Crookwell Library,-34.460428,149.470978,"Denison Street, Crookwell NSW  2583",http://www.strl.nsw.gov.au/
Culcairn Library,-35.667523,147.038694,"Balfour Street, Culcairn NSW 2660",http://www.rrl.nsw.gov.au/
Customs House Library,-33.861443,151.21058,"Customs House Library, 31 Alfred Street, Circular Quay, Sydney NSW 2000",http://www.cityofsydney.nsw.gov.au/Library/Default.asp
Dapto Library,-34.497065,150.79259,"Ribbonwood Centre, 93-109 Princes Highway, Dapto NSW 2530",http://www.wollongong.nsw.gov.au/library.asp
Dareton Library,-34.097999,142.079067,"Silver City Highway, Dareton NSW 2717",http://www.wentworth.nsw.gov.au/library/
Deniliquin Library,-35.529075,144.962362,"Gorman Park, 55 Napier Street, Deniliquin NSW 2710",http://www.deniliquin.nsw.gov.au/library.html
Denman Library,-32.389987,150.688455,"7 Ogilvie Street, Denman NSW 2328",http://www.uhrl.nsw.gov.au/
Dorrigo Library,-30.33815,152.712185,"Pine Street, Dorrigo NSW 2453",http://www.crl.nsw.gov.au/
Dubbo Library,-32.244859,148.601757,"Cnr Macquarie & Talbragar Streets, Dubbo  NSW  2830",http://www.mrl.nsw.gov.au/
Dulwich Hill Library,-33.903962,151.143709,"12 Seaview Street, Dulwich Hill NSW 2203",http://www.marrickville.nsw.gov.au/library.htm
Dundas Valley Library,-33.796574,151.044202,"Sturt Street, Telopea  2117",http://www.parracity.nsw.gov.au/culture__and__leisure/library
Dunedoo Library,-32.016139,149.392077,"Bolaro Street, Dunedoo NSW 2844",http://www.mrl.nsw.gov.au/
Dungog Library,-32.40296,151.751105,"MacKay Street, Dungog NSW 2484",http://www.newcastle.nsw.gov.au/discover_newcastle/visit_our_libraries
Dural Library,-33.690775,151.020666,"Pellitt Lane, Dural NSW 2158",http://www.thehills.nsw.gov.au/Library.html
Eagle Vale Library,-34.033642,150.815201,"Cnr Emerald Drive & Feldspar Road, Eagle Vale NSW 2558",http://www.campbelltown.nsw.gov.au/default.asp?iSubCatID=121&iNavCatID=1
Earlwood Library,-33.927407,151.124428,"Cnr Homer & William Streets, Earlwood NSW 2206",http://www.canterbury.nsw.gov.au/www/html/31-library-and-heritage.asp
East Maitland Library,-32.760364,151.58932,"Garnett Road, East Maitland NSW 2323",http://www.maitland.nsw.gov.au/library/
Eastgardens Library,-33.93621,151.224823,"Ground Floor, Westfield Shoppingtown Banks Avenue, Eastgardens NSW 2035",www.botanybay.nsw.gov.au
Eastwood Library,-33.790918,151.081821,"Cnr Hillview Road & West Parade, Eastwood NSW 2122",http://www.ryde.nsw.gov.au/library/ryde.htm
Eden Library,-37.062707,149.904837,"Eden gateway, Cnr Imlay & Mitchell Streets, Eden NSW 2551",http://www.begavalley.nsw.gov.au/Community/Library_Services/Library.htm
Edgeworth Library,-32.918533,151.623151,"Minmi Road, Edgeworth NSW  2285",http://www.lakemac.com.au/page.aspx?pid=144&vid=11
Emu Plains Library,-33.751519,150.661597,"Lawson Street, Emu Plains NSW 2759",http://www.penrithcity.nsw.gov.au/index.asp?id=41
Engadine Library,-34.065685,151.016037,"116E Caldarra Avenue, Engadine NSW 2233",http://www.suthlib.nsw.gov.au/ssc/suthlib.nsf/
Epping Library,-33.771546,151.0879,"Chambers Court, Off Pembroke Street, Epping NSW 2121",http://www.thehills.nsw.gov.au/Library.html
Erina Library,-33.437893,151.383648,"Erina Fair Shopping Centre, Erina NSW 2250",http://www.gosford.nsw.gov.au/library
Ermington Library,-33.815087,151.053648,"Cnr River Road & Lister Avenue, Ermington NSW 2115",http://www.parracity.nsw.gov.au/culture__and__leisure/library
Evans Head Library,-29.114114,153.427909,"Woodburn Street, Evans Head NSW 2473",http://www.crl.nsw.gov.au/
Finley Library,-35.644877,145.574087,"Denison Street, Finley NSW 2713",http://berriganshire.local-e.nsw.gov.au/library.html
Five Dock Library,-33.867982,151.128893,"Level 1, 4-12 Garfield Street, Five Dock NSW 2046",http://www.canadabay.nsw.gov.au/your_local_library/your_local_library.html
Forbes Library,-33.386854,148.008748,"Victoria Lane, Forbes NSW 2871",http://www.cwl.nsw.gov.au/
Forestville Library,-33.761463,151.214724,"6 Darley Street, Forestville NSW 2087",http://www.wls.nsw.gov.au/
Foster Library,-32.200294,152.522892,"Breese Parade, Forster NSW 2428",http://www.greatlakes.nsw.gov.au/Library/index.htm
